YEAR,COUNTRY,NLID,RE,IR,@INF,UP,EDU
2000,bulgaria,1907.1815817992,55,,10.3162621289989,68.899,92.787956237793
2001,bulgaria,2134.81855603833,55,,7.36093927231849,69.166,93.8534774780273
2002,bulgaria,2785.8313384338,55,,5.81014365721823,69.524,95.2958908081055
2003,bulgaria,4279.61907140516,55,6.446667,2.34864169582755,69.879,86.7547836303711
2004,bulgaria,5893.31077802711,55,5.36,6.1471307424627,70.233,88.7405395507813
2005,bulgaria,7434.900917817,55,3.874167,5.03883807111907,70.584,89.2280578613281
2006,bulgaria,8765.17497872477,70.5,4.183333,7.26159462769947,70.932,89.740119934082
2007,bulgaria,11471.8339052023,70.3,4.539166,8.40253419005894,71.278,90.2380523681641
2008,bulgaria,14925.637144363,68.4,5.376667,12.3487195994021,71.622,89.4339599609375
2009,bulgaria,13614.3363984769,73.5,7.215,2.75320223914816,71.963,88.741943359375
2010,bulgaria,12216.4839145594,77.8,6.005,2.43899060504117,72.302,90.2261962890625
2011,bulgaria,12822.6854812975,75.8,5.356667,4.21990346601875,72.638,93.755256652832
2012,bulgaria,11692.3208297006,72.7,4.4975,2.95456829831017,72.975,94.6957321166992
2013,bulgaria,12561.3788884867,73.6,3.473333,0.890093540913032,73.313,101.453163146973
2014,bulgaria,12689.3168011007,73.5,3.3475,-1.41818380264842,73.651,104.148780822754
2015,bulgaria,11781.2252337052,68.5,2.491667,-0.104633261008417,73.99,102.272270202637
2016,bulgaria,12224.1628676432,66.9,2.271667,-0.798749090253956,74.329,99.6770782470703
2017,bulgaria,13839.0760722035,66.7,1.6025,2.06435506312528,74.669,98.1834716796875
2018,bulgaria,16931.826743779,64.3,0.8925,2.81186840582685,75.008,96.8209075927734
2019,bulgaria,18749.6503290742,62.7,0.4291667,3.10372944796774,75.347,92.3925933837891
2020,bulgaria,20928.8142999491,62.6,0.2541667,1.67341201429255,,NA
2000,Croatia,8573.08082513402,55,,4.611315547378,53.428,85.5260467529297
2001,Croatia,9716.89703257194,55,,3.7767024666589,53.642,85.7642364501953
2002,Croatia,11349.9151441921,55,,1.67178437393382,53.81,86.8682174682617
2003,Croatia,14434.4215296754,55,,1.76733780760626,53.979,88.3447875976563
2004,Croatia,17202.8717662578,55,,2.05539679050332,54.147,NA
2005,Croatia,18664.5850982923,55,,3.31717824448043,54.315,93.171028137207
2006,Croatia,20992.8171586747,54.5,4.43,3.1898259147295,54.483,94.9342575073242
2007,Croatia,24963.3638068852,54.2,4.933333,2.89928275583392,54.651,96.6008605957031
2008,Croatia,29417.5273412006,58.5,6.041667,6.07696838798351,54.819,98.3713531494141
2009,Croatia,26847.9860630138,59.9,7.8325,2.37852845904674,54.987,99.8474578857422
2010,Croatia,25243.3986961968,61.5,6.265,1.03055505333573,55.155,99.9010009765625
2011,Croatia,25836.5055315182,65.2,6.539166,2.27272727272727,55.322,99.1912536621094
2012,Croatia,23154.7973842852,63.4,6.129167,3.41207349081366,55.506,98.9171829223633
2013,Croatia,23696.9455909966,63,4.680833,2.2165820642978,55.706,99.3479919433594
2014,Croatia,21006.4643062348,61.4,4.050833,-0.215196159576215,55.923,98.7023773193359
2015,Croatia,17081.5125552873,55.8,3.526667,-0.464499004645002,56.155,98.6538696289063
2016,Croatia,17268.251221993,60.3,3.475,-1.12500000000001,56.403,98.8711090087891
2017,Croatia,18796.0900559713,58.2,2.7675,1.12937210282344,56.667,99.4024200439453
2018,Croatia,22037.9742728405,58.9,2.1725,1.50012501041753,56.947,100.079772949219
2019,Croatia,23390.4580325168,60.7,1.2875,0.771820346498083,57.242,100.119430541992
2020,Croatia,292.26618705036,53.6,0.8333333,,,NA
2000,Czech Republic,10000.5465214661,85,,3.77538829151733,73.988,88.3174514770508
2001,Czech Republic,11100.3194307332,85,6.314167,4.66267556988255,73.877,94.8055419921875
2002,Czech Republic,14166.3318758931,70,4.876667,1.90298097019031,73.809,95.5016326904297
2003,Czech Republic,19333.2522912891,70,4.115833,0.118739205526785,73.74,96.4894180297852
2004,Czech Republic,22445.3910491426,70,4.820833,2.76010781671159,73.671,95.4421005249023
2005,Czech Republic,25175.7907192297,70,3.5425,1.85709789109223,73.602,95.6708526611328
2006,Czech Republic,30493.3768229971,57.8,3.8,2.53399258343632,73.533,96.0375595092773
2007,Czech Republic,35270.5525497123,61.1,4.3025,2.85312437211172,73.463,94.9588088989258
2008,Czech Republic,43492.2064091037,64.2,4.633333,6.35866380152374,73.394,94.1495819091797
2009,Czech Republic,39120.9895760137,65.1,4.8375,1.0193773532923,73.324,93.8502731323242
2010,Czech Republic,38669.0398816528,65.5,3.884167,1.47272727272729,73.255,94.6564178466797
2011,Czech Republic,40792.5357825739,69.8,3.7075,1.91721913635547,73.185,95.7987899780273
2012,Czech Republic,36121.1424437923,67.7,2.781667,3.28762306610408,73.197,96.7918090820313
2013,Czech Republic,37834.0501220884,65.8,2.111667,1.43829787234043,73.29,103.998947143555
2014,Czech Republic,36287.8008207005,70.1,1.575833,0.343988589646784,73.384,104.697219848633
2015,Czech Republic,32031.7662240648,68.2,0.575,0.309364548494974,73.477,105.089302062988
2016,Czech Republic,29102.1875216414,66.6,0.4275,0.683504209385683,73.57,104.634811401367
2017,Czech Republic,32471.0606251564,67.2,0.9808334,2.45053398460138,73.675,103.491577148438
2018,Czech Republic,36631.7452627348,72.5,1.981667,2.14949494949492,73.792,102.297927856445
2019,Czech Republic,36756.3660915413,72.4,1.548333,2.84787595918047,73.921,101.301551818848
2020,Czech Republic,45528.8114493224,69.7,1.128333,3.16129528497808,,NA
2000,France,48149.7552860153,70,5.394467,1.6759598872093,75.871,105.590217590332
2001,France,49566.7153992844,70,4.939458,1.63478079549599,76.127,104.571113586426
2002,France,55545.7360325089,70,4.861217,1.9234122872706,76.38,103.186340332031
2003,France,73536.8786291579,70,4.130892,2.09847219146922,76.632,102.772102355957
2004,France,83879.4274785181,70,4.099167,2.14208964640242,76.883,102.220016479492
2005,France,87461.8395266827,70,3.409442,1.74586936380481,77.13,106.781677246094
2006,France,86272.2676805864,88,3.795742,1.67512449608728,77.377,106.927520751953
2007,France,96104.0591187362,87.2,4.3032,1.48799805953858,77.621,106.69352722168
2008,France,105137.073000975,88,4.234325,2.81286194914787,77.868,106.432838439941
2009,France,99202.2828326134,87.4,3.648817,0.0876204781574529,78.117,106.239227294922
2010,France,92672.4724802491,86.3,3.117017,1.53112270420924,78.369,106.424942016602
